2024-03-09 03:37:42,717 - TeaMonitor Computer Network Activity -INFO - Соединение 52: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54550, Тип соединения: TCP
2024-03-09 03:37:42,723 - TeaMonitor Computer Network Activity -INFO - Соединение 53: Имя процесса: svchost.exe, PID: 9272, Протокол: 0.0.0.0, Порт: 7680, Тип соединения: TCP
2024-03-09 03:37:42,727 - TeaMonitor Computer Network Activity -INFO - Соединение 54: Имя процесса: ss_conn_service.exe, PID: 4668, Протокол: 127.0.0.1, Порт: 50911, Тип соединения: TCP
2024-03-09 03:37:42,732 - TeaMonitor Computer Network Activity -INFO - Соединение 55: Имя процесса: lsass.exe, PID: 1308, Протокол: 0.0.0.0, Порт: 49664, Тип соединения: TCP
2024-03-09 03:37:42,740 - TeaMonitor Computer Network Activity -INFO - Соединение 56: Имя процесса: System, PID: 4, Протокол: 0.0.0.0, Порт: 445, Тип соединения: TCP
2024-03-09 03:37:42,749 - TeaMonitor Computer Network Activity -INFO - Соединение 57: Имя процесса: services.exe, PID: 1252, Протокол: 0.0.0.0, Порт: 49669, Тип соединения: TCP
2024-03-09 03:37:42,749 - TeaMonitor Computer Network Activity -INFO - Соединение 59: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54532, Тип соединения: TCP
2024-03-09 03:37:42,749 - TeaMonitor Computer Network Activity -INFO - Соединение 60: Имя процесса: java.exe, PID: 15964, Протокол: 127.0.0.1, Порт: 55590, Тип соединения: TCP
2024-03-09 03:37:42,754 - TeaMonitor Computer Network Activity -INFO - Соединение 61: Имя процесса: svchost.exe, PID: 13696, Протокол: 192.168.1.168, Порт: 53418, Тип соединения: UDP
2024-03-09 03:37:42,754 - TeaMonitor Computer Network Activity -INFO - Соединение 63: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54553, Тип соединения: TCP
2024-03-09 03:37:42,758 - TeaMonitor Computer Network Activity -INFO - Соединение 64: Имя процесса: svchost.exe, PID: 4660, Протокол: 0.0.0.0, Порт: 49674, Тип соединения: TCP
2024-03-09 03:37:42,758 - TeaMonitor Computer Network Activity -INFO - Соединение 65: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 60682, Тип соединения: TCP
2024-03-09 03:37:42,758 - TeaMonitor Computer Network Activity -INFO - Соединение 66: Имя процесса: Y.Music.exe, PID: 18276, Протокол: 192.168.1.168, Порт: 56863, Тип соединения: TCP
2024-03-09 03:37:42,758 - TeaMonitor Computer Network Activity -INFO - Соединение 67: Имя процесса: browser.exe, PID: 16296, Протокол: ::, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,763 - TeaMonitor Computer Network Activity -INFO - Соединение 68: Имя процесса: svchost.exe, PID: 4364, Протокол: 0.0.0.0, Порт: 500, Тип соединения: UDP
2024-03-09 03:37:42,767 - TeaMonitor Computer Network Activity -INFO - Соединение 69: Имя процесса: System, PID: 4, Протокол: 192.168.1.168, Порт: 139, Тип соединения: TCP
2024-03-09 03:37:42,768 - TeaMonitor Computer Network Activity -INFO - Соединение 70: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54569, Тип соединения: TCP
2024-03-09 03:37:42,768 - TeaMonitor Computer Network Activity -INFO - Соединение 71: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 60680, Тип соединения: TCP
2024-03-09 03:37:42,768 - TeaMonitor Computer Network Activity -INFO - Соединение 72: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54562, Тип соединения: TCP
2024-03-09 03:37:42,773 - TeaMonitor Computer Network Activity -INFO - Соединение 73: Имя процесса: svchost.exe, PID: 13696, Протокол: 127.0.0.1, Порт: 1900, Тип соединения: UDP
2024-03-09 03:37:42,778 - TeaMonitor Computer Network Activity -INFO - Соединение 74: Имя процесса: svchost.exe, PID: 2044, Протокол: 0.0.0.0, Порт: 49666, Тип соединения: TCP
2024-03-09 03:37:42,778 - TeaMonitor Computer Network Activity -INFO - Соединение 75: Имя процесса: java.exe, PID: 15964, Протокол: 127.0.0.1, Порт: 33343, Тип соединения: TCP
2024-03-09 03:37:42,783 - TeaMonitor Computer Network Activity -INFO - Соединение 76: Имя процесса: svchost.exe, PID: 2044, Протокол: ::, Порт: 49666, Тип соединения: TCP
